Data;1 - u.m.c./US$;% Dia;% Acum.;3 - u.m.c./US$;% Ágio
12/06/2018;3,7044;0,35;-5,13;-;-
13/06/2018;3,7054;0,03;-5,11;-;-
14/06/2018;3,7057;0,01;-5,10;-;-
15/06/2018;3,7738;1,84;-3,35;-;-
18/06/2018;3,7543;-0,52;-3,85;-;-
19/06/2018;3,7566;0,06;-3,80;-;-
20/06/2018;3,7335;-0,61;-4,39;-;-
21/06/2018;3,7894;1,50;-2,96;-;-
22/06/2018;3,7663;-0,61;-3,55;-;-
25/06/2018;3,7760;0,26;-3,30;-;-
26/06/2018;3,7721;-0,10;-3,40;-;-
27/06/2018;3,8358;1,69;-1,77;-;-
28/06/2018;3,8521;0,42;-1,35;-;-
29/06/2018;3,8558;0,10;-1,25;-;-
02/07/2018;3,9055;1,29;0,02;-;-
03/07/2018;3,8920;-0,35;-0,33;-;-
04/07/2018;3,9058;0,35;0,03;-;-
05/07/2018;3,9192;0,34;0,37;-;-
06/07/2018;3,9264;0,18;0,55;-;-
09/07/2018;3,8692;-1,46;-0,91;-;-
10/07/2018;3,8452;-0,62;-1,53;-;-
11/07/2018;3,8417;-0,09;-1,62;-;-
12/07/2018;3,8564;0,38;-1,24;-;-
13/07/2018;3,8745;0,47;-0,78;-;-
16/07/2018;3,8579;-0,43;-1,20;-;-
17/07/2018;3,8671;0,24;-0,97;-;-
18/07/2018;3,8474;-0,51;-1,47;-;-
19/07/2018;3,8847;0,97;-0,51;-;-
20/07/2018;3,7793;-2,71;-3,21;-;-
23/07/2018;3,7915;0,32;-2,90;-;-
24/07/2018;3,7459;-1,20;-4,07;-;-
25/07/2018;3,7120;-0,90;-4,94;-;-
26/07/2018;3,7243;0,33;-4,62;-;-
27/07/2018;3,7164;-0,21;-4,82;-;-
30/07/2018;3,7155;-0,02;-4,85;-;-
31/07/2018;3,7549;1,06;-3,84;-;-
01/08/2018;3,7491;-0,15;-3,99;-;-
02/08/2018;3,7645;0,41;-3,59;-;-
03/08/2018;3,7201;-1,18;-4,73;-;-
06/08/2018;3,7214;0,03;-4,70;-;-
07/08/2018;3,7118;-0,26;-4,94;-;-
08/08/2018;3,7519;1,08;-3,92;-;-
09/08/2018;3,8030;1,36;-2,61;-;-
10/08/2018;3,8472;1,16;-1,48;-;-
13/08/2018;3,8988;1,34;-0,15;-;-
14/08/2018;3,8812;-0,45;-0,60;-;-
15/08/2018;3,9134;0,83;0,22;-;-
16/08/2018;3,8810;-0,83;-0,61;-;-
17/08/2018;3,9389;1,49;0,87;-;-
20/08/2018;3,9430;0,10;0,98;-;-
21/08/2018;3,9873;1,12;2,11;-;-
22/08/2018;4,0740;2,17;4,33;-;-
23/08/2018;4,0727;-0,03;4,30;-;-
24/08/2018;4,0854;0,31;4,63;-;-
27/08/2018;4,0687;-0,41;4,20;-;-
28/08/2018;4,1192;1,24;5,49;-;-
29/08/2018;4,1353;0,39;5,90;-;-
30/08/2018;4,1812;1,11;7,08;-;-
31/08/2018;4,1353;-1,10;5,90;-;-
03/09/2018;4,1279;-0,18;5,71;-;-
04/09/2018;4,1652;0,90;6,67;-;-
05/09/2018;4,1609;-0,10;6,56;-;-
06/09/2018;4,1460;-0,36;6,18;-;-
10/09/2018;4,1007;-1,09;5,02;-;-
11/09/2018;4,1641;1,55;6,64;-;-
12/09/2018;4,1259;-0,92;5,66;-;-
13/09/2018;4,1637;0,92;6,63;-;-
14/09/2018;4,1879;0,58;7,25;-;-
17/09/2018;4,1695;-0,44;6,78;-;-
18/09/2018;4,1369;-0,78;5,94;-;-
19/09/2018;4,1351;-0,04;5,90;-;-
20/09/2018;4,0997;-0,86;4,99;-;-
21/09/2018;4,0728;-0,66;4,30;-;-
24/09/2018;4,0594;-0,33;3,96;-;-
25/09/2018;4,1286;1,70;5,73;-;-
26/09/2018;4,0570;-1,73;3,90;-;-
27/09/2018;4,0092;-1,18;2,67;-;-
28/09/2018;4,0039;-0,13;2,54;-;-
01/10/2018;4,0273;0,58;3,14;-;-
02/10/2018;3,9505;-1,91;1,17;-;-
03/10/2018;3,8542;-2,44;-1,30;-;-
04/10/2018;3,9047;1,31;0,00;-;-
05/10/2018;3,8699;-0,89;-0,89;-;-
08/10/2018;3,7588;-2,87;-3,74;-;-
09/10/2018;3,7391;-0,52;-4,24;-;-
10/10/2018;3,7510;0,32;-3,94;-;-
11/10/2018;3,7460;-0,13;-4,07;-;-
15/10/2018;3,7332;-0,34;-4,39;-;-
16/10/2018;3,7079;-0,68;-5,04;-;-
17/10/2018;3,7008;-0,19;-5,22;-;-
18/10/2018;3,6963;-0,12;-5,34;-;-
19/10/2018;3,7079;0,31;-5,04;-;-
22/10/2018;3,6903;-0,47;-5,49;-;-
23/10/2018;3,7080;0,48;-5,04;-;-
24/10/2018;3,7060;-0,05;-5,09;-;-
25/10/2018;3,7014;-0,12;-5,21;-;-
26/10/2018;3,6753;-0,71;-5,88;-;-
29/10/2018;3,6368;-1,05;-6,86;-;-
30/10/2018;3,7019;1,79;-5,20;-;-
31/10/2018;3,7177;0,43;-4,79;-;-
01/11/2018;3,6973;-0,55;-5,31;-;-
05/11/2018;3,7048;0,20;-5,12;-;-
06/11/2018;3,7492;1,20;-3,98;-;-
07/11/2018;3,7592;0,27;-3,73;-;-
08/11/2018;3,7391;-0,53;-4,24;-;-
09/11/2018;3,7506;0,31;-3,95;-;-
12/11/2018;3,7478;-0,07;-4,02;-;-
13/11/2018;3,7792;0,84;-3,22;-;-
14/11/2018;3,7924;0,35;-2,88;-;-
16/11/2018;3,7525;-1,05;-3,90;-;-
19/11/2018;3,7553;0,07;-3,83;-;-
20/11/2018;3,7591;0,10;-3,73;-;-
21/11/2018;3,7872;0,75;-3,01;-;-
22/11/2018;3,8103;0,61;-2,42;-;-
23/11/2018;3,8081;-0,06;-2,48;-;-
26/11/2018;3,8655;1,51;-1,01;-;-
27/11/2018;3,8925;0,70;-0,32;-;-
28/11/2018;3,8631;-0,76;-1,07;-;-
29/11/2018;3,8568;-0,16;-1,23;-;-
30/11/2018;3,8633;0,17;-1,06;-;-
03/12/2018;3,8285;-0,90;-1,95;-;-
04/12/2018;3,8313;0,07;-1,88;-;-
05/12/2018;3,8561;0,65;-1,25;-;-
06/12/2018;3,9178;1,60;0,33;-;-
07/12/2018;3,8964;-0,55;-0,22;-;-
10/12/2018;3,9110;0,37;0,16;-;-
11/12/2018;3,9013;-0,25;-0,09;-;-
12/12/2018;3,8629;-0,98;-1,07;-;-
13/12/2018;3,8790;0,42;-0,66;-;-
14/12/2018;3,9090;0,77;0,11;-;-
17/12/2018;3,9121;0,08;0,19;-;-
18/12/2018;3,8997;-0,32;-0,13;-;-
19/12/2018;3,8907;-0,23;-0,36;-;-
20/12/2018;3,8443;-1,19;-1,55;-;-
21/12/2018;3,8671;0,59;-0,97;-;-
24/12/2018;3,8855;0,48;-0,49;-;-
26/12/2018;3,9258;1,04;0,54;-;-
27/12/2018;3,9330;0,18;0,72;-;-
28/12/2018;3,8748;-1,48;-0,77;-;-
31/12/2018;3,8748;0,00;-0,77;-;-

série 1;Taxa de câmbio - Livre - Dólar americano (venda) - diário
série 3;Taxa de câmbio - Flutuante - Dólar turismo - Venda
